Frame,Time,1_pos_X,1_pos_Y,1_pos_Z,2_pos_X,2_pos_Y,2_pos_Z,3_pos_X,3_pos_Y,3_pos_Z,4_pos_X,4_pos_Y,4_pos_Z,C_pos_X,C_pos_Y,C_pos_Z
421,4.2,225.443,124.516,55.099,226.027,275.182,45.615,374.628,274.014,39.783,372.961,125.426,52.082,303.593,199.161,67.349
422,4.21,225.349,125.008,57.777,226.085,275.704,48.053,374.614,274.603,41.699,373.051,125.81,54.278,303.738,199.695,69.782
423,4.22,225.571,125.658,60.708,226.115,276.292,50.837,374.57,275.378,43.83,373.233,126.484,56.539,303.658,200.033,72.234
424,4.23,225.755,126.254,63.765,226.242,277.015,53.823,374.788,275.693,46.285,373.278,127.043,59.024,303.419,200.375,74.904
425,4.24,225.846,126.869,67.231,226.335,277.603,57.299,374.756,276.363,48.672,373.372,127.747,61.412,303.449,200.884,77.753
426,4.25,226.034,127.564,70.659,226.425,278.215,60.681,374.696,277.055,51.508,373.443,128.451,64.144,303.256,201.505,80.667
427,4.26,226.292,128.343,74.112,226.53,279.102,64.416,374.691,277.815,54.205,373.702,129.438,66.857,303.342,202.263,83.884
428,4.27,226.773,129.388,77.976,226.886,280.186,68.135,375.07,278.719,57.385,373.896,130.219,69.937,303.994,203.345,87.407
429,4.28,226.983,130.361,81.821,227.021,280.976,72.056,375.304,279.834,60.577,374.459,131.326,73.279,305.421,204.682,91.384
430,4.29,227.192,131.265,85.795,227.422,281.963,75.948,375.539,280.808,64.247,374.944,132.374,76.659,305.981,205.942,95.08
431,4.3,227.696,132.511,89.709,227.774,283.09,80.056,376.026,281.967,67.802,375.248,133.401,80.323,306.503,206.981,98.965
432,4.31,228.277,133.594,93.805,228.008,284.053,84.207,376.182,283.524,71.817,375.726,134.762,83.996,307.047,208.378,103.02
433,4.32,228.788,134.657,97.605,228.567,285.443,88.517,376.549,284.656,75.785,376.171,135.998,87.587,307.506,209.39,106.91
434,4.33,229.494,136.017,101.848,228.927,286.559,92.798,377.304,286.094,79.8,376.881,137.6,91.621,308.057,210.884,111.054
435,4.34,230.171,137.243,106.066,229.527,287.976,96.825,377.761,287.45,84.054,377.416,138.801,95.492,308.594,212.104,115.083
436,4.35,230.811,138.759,110.166,230.211,289.248,101.221,378.429,289.265,88.067,378.177,140.501,99.566,309.353,213.66,119.288
437,4.36,231.655,140.111,114.261,230.687,290.496,105.307,378.943,290.649,92.048,378.993,141.952,103.755,310.112,215.066,123.44
438,4.37,232.534,141.648,118.455,231.413,292.023,109.634,379.594,292.465,96.272,379.788,143.643,107.821,310.852,216.839,127.6
439,4.38,233.395,143.206,122.788,232.255,293.558,113.713,380.431,293.886,100.405,380.765,145.243,112.133,311.727,218.386,131.801
440,4.39,234.458,144.978,126.794,233.066,295.458,118.019,381.282,295.755,104.538,381.615,147.14,116.288,312.641,220.011,135.889
441,4.4,235.481,146.606,131.214,233.946,297.043,122.095,382.119,297.618,108.878,382.718,148.858,120.605,313.65,221.895,140.196
442,4.41,236.526,148.423,135.266,235.003,298.904,126.138,383.099,299.545,112.782,383.841,150.812,124.808,314.609,223.716,144.172
443,4.42,237.579,150.253,139.374,235.97,300.715,130.116,384.093,301.489,117.151,384.96,152.9,129.156,315.687,225.708,148.475
