NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:33
DATA_INCLUDED	Velocity
DATA_TYPES	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z

Frame	Time	2_vel_X	2_vel_Y	2_vel_Z	3_vel_X	3_vel_Y	3_vel_Z	4_vel_X	4_vel_Y	4_vel_Z	C_vel_X	C_vel_Y	C_vel_Z	1_vel_X	1_vel_Y	1_vel_Z	
417	4.16000	1.248	20.150	114.996	2.850	16.849	104.476	-8.872	16.878	141.408	2.485	24.299	128.161	0.221	24.443	184.297
418	4.17000	-10.996	21.716	145.679	-10.313	19.585	104.188	-5.930	22.347	159.349	4.092	26.708	152.464	2.279	32.808	194.395
419	4.18000	-9.674	25.109	186.372	7.947	22.343	135.047	2.183	27.832	175.661	-1.034	29.251	163.318	5.033	36.084	215.236
420	4.19000	-0.601	26.518	216.324	7.552	34.592	155.443	1.210	36.433	183.101	-16.088	34.051	185.043	4.233	39.310	244.871
421	4.20000	5.769	41.588	241.527	-5.720	50.057	160.089	-0.974	36.884	189.244	-1.411	48.627	236.220	-6.101	43.511	263.730
422	4.21000	4.382	55.474	261.101	-2.921	68.202	202.361	13.607	52.910	222.868	3.235	43.612	244.271	6.391	57.104	280.478
423	4.22000	7.848	65.542	288.480	8.666	54.506	229.306	11.360	61.620	237.324	-15.939	33.989	256.098	20.277	62.296	299.406
424	4.23000	10.995	65.578	323.071	9.327	49.242	242.075	6.913	63.177	243.646	-10.464	42.526	275.936	13.743	60.562	326.142
425	4.24000	9.143	59.970	342.901	-4.559	68.095	261.184	8.242	70.399	255.960	-8.137	56.482	288.158	13.984	65.510	344.693
426	4.25000	9.781	74.959	355.856	-3.270	72.606	276.676	16.499	84.539	272.231	-5.338	68.939	306.562	22.283	73.696	344.043
427	4.26000	23.041	98.592	372.715	18.659	83.207	293.812	22.683	88.431	289.677	36.889	91.992	337.022	36.925	91.182	365.847
428	4.27000	24.545	93.689	382.002	30.645	100.926	318.583	37.847	94.417	321.099	103.958	120.960	374.994	34.561	100.904	385.433
429	4.28000	26.816	88.850	390.625	23.482	104.485	343.122	52.364	107.737	336.097	99.356	129.879	383.633	20.963	93.873	390.953
