NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:29:55
DATA_INCLUDED	Acceleration
DATA_TYPES	2_acc_X	2_acc_Y	2_acc_Z	3_acc_X	3_acc_Y	3_acc_Z	4_acc_X	4_acc_Y	4_acc_Z	C_acc_X	C_acc_Y	C_acc_Z	1_acc_X	1_acc_Y	1_acc_Z

Frame	Time	2_acc_X	2_acc_Y	2_acc_Z	3_acc_X	3_acc_Y	3_acc_Z	4_acc_X	4_acc_Y	4_acc_Z	C_acc_X	C_acc_Y	C_acc_Z	1_acc_X	1_acc_Y	1_acc_Z	
480	4.79000	55.435	-1312.758	-1300.969	2179.688	1938.360	461.508	-401.554	-408.202	-1026.744	2117.629	-1565.477	1588.887	-841.014	1120.966	-2251.660
481	4.80000	-2334.455	88.295	-1983.026	-1345.878	-1453.090	-1072.692	-1130.665	-888.618	-2463.581	-251.273	2021.725	1.316	1324.256	293.581	-54.419
482	4.81000	3711.889	641.434	126.207	-1008.781	37.244	-2407.277	2491.600	557.709	333.185	247.944	-312.156	-2963.147	797.981	-699.178	-2232.563
483	4.82000	250.760	1194.554	54.786	2931.588	494.566	1565.257	112.461	825.594	-293.383	2422.601	-437.368	1238.957	-262.765	1923.993	-107.864
484	4.83000	1455.933	1902.154	666.289	-200.642	1159.537	-1275.152	-720.207	-886.555	-268.461	-1729.200	1516.854	-3120.596	-194.791	-875.581	-588.684
485	4.84000	469.028	-1134.288	-2041.956	563.048	-579.278	-59.327	1788.116	2560.972	-2214.424	1591.283	126.296	983.627	1287.774	409.516	-1099.661
486	4.85000	-3224.862	-1901.358	-1171.954	-27.626	1191.494	3106.444	1928.811	377.412	2766.355	-45.042	-960.488	1027.600	885.841	-894.295	-159.147
487	4.86000	2798.533	1675.482	-805.106	62.433	-309.758	-5549.574	-1365.510	-1005.486	-2786.107	1521.065	1695.827	-4930.374	452.926	154.601	-2126.212
488	4.87000	1172.634	30.311	1708.497	2405.075	1291.442	1393.607	231.551	-284.610	-819.336	-1885.428	-1591.967	2683.990	404.732	612.986	480.277
489	4.88000	2194.727	2910.492	-2236.396	-977.681	-2023.301	-383.145	1130.893	530.297	-253.071	2531.778	2323.792	-865.251	538.021	1603.361	27.755
490	4.89000	-3494.348	-4546.936	-426.381	240.518	1650.195	-2021.724	-1009.571	-1326.258	-324.798	1894.611	-2323.966	-957.588	770.137	-2340.377	-1765.967
491	4.90000	2376.751	2727.884	-1795.992	1196.277	-1095.357	2078.005	3362.224	2570.268	-513.147	-2296.825	2096.046	-1157.570	1117.752	1760.067	1475.407
492	4.91000	-118.424	-1929.644	1774.624	213.209	-17.737	-2206.644	1074.932	524.164	1403.804	2826.618	-529.930	1363.404	-453.305	-314.179	-2698.184
493	4.92000	20.204	3592.571	-2595.511	643.294	3235.637	-1438.504	-2117.065	-1522.848	-4543.771	-2592.533	-800.738	-3505.179	1017.272	-451.549	216.792
494	4.93000	3496.822	-542.337	1002.209	-440.359	-1460.227	223.635	2672.828	1158.207	4876.109	3359.288	3495.464	2714.473	185.427	914.903	1462.358
495	4.94000	-2610.814	-3378.757	-1521.013	2387.909	-664.248	-229.582	-2939.777	-1114.668	-4469.038	-1105.640	-4334.510	-1663.684	975.353	1380.770	-1431.610
496	4.95000	1251.758	2321.036	32.406	172.298	443.577	281.902	5210.914	3916.689	1320.383	2872.847	3425.363	-795.006	-267.934	-2345.922	-869.766
497	4.96000	2235.840	2369.923	156.095	-2162.338	573.163	-2632.521	-2185.159	-4797.836	1341.312	-1487.199	-1271.849	164.582	2604.666	1360.470	1332.517
498	4.97000	-1231.721	-2354.810	-876.711	2286.214	562.400	991.525	220.233	2846.555	-3289.211	138.332	1575.826	-52.385	-1053.821	-246.820	-2083.658
499	4.98000	-779.654	-349.799	-1366.968	303.177	-1772.207	-181.457	2562.615	420.485	1213.309	2665.705	4.318	226.716	301.369	1376.779	583.018
500	4.99000	740.872	165.147	120.919	1432.065	3720.275	-1070.718	-314.132	1343.949	-1855.820	-2355.816	-1942.561	-3410.975	1707.692	-1135.468	-723.419
501	5.00000	2789.053	454.888	1685.284	-178.111	-2769.919	61.992	610.548	-3223.824	5062.961	3205.340	2998.019	4656.249	-591.741	-205.067	1931.522
502	5.01000	-1317.790	1042.032	-3253.484	-1941.418	2939.453	-1060.808	-716.236	1978.863	-6929.814	-1322.290	-2104.499	-4915.180	2401.024	-66.609	-1903.958
503	5.02000	846.306	-1114.487	932.740	4422.216	-2529.985	-193.163	2666.432	2002.617	2888.450	1108.827	2088.574	2068.094	-1438.632	2641.600	310.835
504	5.03000	-95.706	118.846	-1610.253	-1823.681	938.309	949.432	194.293	-2209.516	-685.551	409.603	-1296.944	-1279.579	2413.927	-2041.284	-701.380
505	5.04000	2907.344	2815.161	1612.725	355.547	2404.018	-815.487	-655.857	169.376	2055.224	1332.432	2153.598	308.590	-997.593	-428.106	-1264.644
506	5.05000	-2528.904	-3587.397	-164.470	1370.502	-3228.302	-1007.795	1769.220	2763.127	-2673.405	564.945	-2402.016	1184.759	1506.275	36.378	1096.300
507	5.06000	1169.855	755.736	-62.205	706.914	2881.008	850.408	606.588	-1398.523	-1713.122	-783.931	477.355	-1833.718	1098.751	2621.491	-1444.238
508	5.07000	469.385	2414.124	-2117.008	-687.410	1007.249	-1049.973	-601.328	592.320	519.462	584.170	2419.384	-1345.764	215.177	-1149.657	3179.918
509	5.08000	2522.968	-1118.565	1176.509	1192.290	-1810.053	-875.055	2092.140	-119.817	112.545	2005.096	-1094.508	1914.345	-1116.037	-537.818	-6029.148
510	5.09000	-2438.742	-189.714	-1506.485	26.085	1409.353	747.465	-2078.924	375.910	-239.090	-1392.532	765.825	-2230.736	1446.237	306.068	5500.620
511	5.10000	2494.707	667.476	2913.572	-896.399	-1250.186	184.593	2141.164	-83.912	-73.465	3964.430	-680.875	3755.514	2107.425	1432.508	-3614.722
512	5.11000	-1378.943	-5.912	-3159.315	3870.413	1178.545	945.791	86.970	-1531.713	316.854	-3969.569	6.183	-5324.891	-1118.463	-1213.103	2183.516
513	5.12000	1730.808	-1023.513	2080.400	-1029.532	118.376	-829.673	1927.282	2878.690	1682.562	3677.851	1124.040	4944.566	460.845	131.650	-4025.500
514	5.13000	440.949	3007.889	-1642.582	1643.462	-213.976	-2.621	-413.899	347.065	-3156.711	-1740.502	-319.039	-4791.209	1713.466	1732.403	4629.239
515	5.14000	752.570	-2883.563	1578.876	-2428.546	2103.257	-1412.756	1064.341	456.049	1288.407	1668.292	-392.334	2713.195	524.047	-2552.870	-4774.263
516	5.15000	-1356.472	90.682	-1810.984	2497.184	-1995.156	615.519	1846.451	-1033.630	-1843.008	646.352	1123.200	-1653.673	-881.713	1802.962	2543.292
517	5.16000	3412.229	3725.515	555.194	-1301.988	2264.068	-1200.340	-1659.223	1274.160	1152.703	792.654	-1093.469	1534.697	2230.268	834.502	-1304.269
