NO_OF_FRAMES	494
NO_OF_DATA_TYPES	15
FREQUENCY	100
TIME_STAMP	2025-01-24, 16:24:13
DATA_INCLUDED	Position
DATA_TYPES	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z

Frame	Time	2_pos_X	2_pos_Y	2_pos_Z	3_pos_X	3_pos_Y	3_pos_Z	4_pos_X	4_pos_Y	4_pos_Z	C_pos_X	C_pos_Y	C_pos_Z	1_pos_X	1_pos_Y	1_pos_Z	
427	4.26000	226.530	279.102	64.416	374.691	277.815	54.205	373.702	129.438	66.857	303.342	202.263	83.884	226.292	128.343	74.112
428	4.27000	226.886	280.186	68.135	375.070	278.719	57.385	373.896	130.219	69.937	303.994	203.345	87.407	226.773	129.388	77.976
429	4.28000	227.021	280.976	72.056	375.304	279.834	60.577	374.459	131.326	73.279	305.421	204.682	91.384	226.983	130.361	81.821
430	4.29000	227.422	281.963	75.948	375.539	280.808	64.247	374.944	132.374	76.659	305.981	205.942	95.080	227.192	131.265	85.795
431	4.30000	227.774	283.090	80.056	376.026	281.967	67.802	375.248	133.401	80.323	306.503	206.981	98.965	227.696	132.511	89.709
432	4.31000	228.008	284.053	84.207	376.182	283.524	71.817	375.726	134.762	83.996	307.047	208.378	103.020	228.277	133.594	93.805
433	4.32000	228.567	285.443	88.517	376.549	284.656	75.785	376.171	135.998	87.587	307.506	209.390	106.910	228.788	134.657	97.605
434	4.33000	228.927	286.559	92.798	377.304	286.094	79.800	376.881	137.600	91.621	308.057	210.884	111.054	229.494	136.017	101.848
435	4.34000	229.527	287.976	96.825	377.761	287.450	84.054	377.416	138.801	95.492	308.594	212.104	115.083	230.171	137.243	106.066
436	4.35000	230.211	289.248	101.221	378.429	289.265	88.067	378.177	140.501	99.566	309.353	213.660	119.288	230.811	138.759	110.166
437	4.36000	230.687	290.496	105.307	378.943	290.649	92.048	378.993	141.952	103.755	310.112	215.066	123.440	231.655	140.111	114.261
438	4.37000	231.413	292.023	109.634	379.594	292.465	96.272	379.788	143.643	107.821	310.852	216.839	127.600	232.534	141.648	118.455
439	4.38000	232.255	293.558	113.713	380.431	293.886	100.405	380.765	145.243	112.133	311.727	218.386	131.801	233.395	143.206	122.788
